season,matchday,date,time,home_team,away_team,result,home_goals,away_goals
25/26,1,2025-08-22,10:00,Remo Stars FC,Rivers United,1:1,1.0,1.0
25/26,1,2025-08-24,11:00,Abia Warriors,Kano Pillars,1:0,1.0,0.0
25/26,1,2025-08-24,11:00,Wikki Tourists,Plateau United,1:0,1.0,0.0
25/26,1,2025-08-24,11:00,Katsina Utd.,Warri Wolves FC,0:1,0.0,1.0
25/26,1,2025-08-24,11:00,Rangers,Kun Khalifat FC,0:0,0.0,0.0
25/26,1,2025-08-24,11:00,Kwara United,Ikorodu City,0:0,0.0,0.0
25/26,1,2025-08-24,11:00,Kanemi Warriors,Bendel Ins.,2:0,2.0,0.0
25/26,1,2025-08-24,11:00,Shooting Stars,Bayelsa,0:1,0.0,1.0
25/26,1,2025-08-24,11:00,Barau FC,Enyimba Aba,0:0,0.0,0.0
25/26,1,2025-08-27,11:00,Niger Tornadoes,Nasarawa United,1:0,1.0,0.0
25/26,2,2025-08-30,11:00,Bendel Ins.,Shooting Stars (18.),1:1,1.0,1.0
25/26,2,2025-08-31,10:00,Enyimba Aba,Niger Tornadoes (4.),1:0,1.0,0.0
25/26,2,2025-08-31,10:00,Bayelsa,Barau FC (9.),2:0,2.0,0.0
25/26,2,2025-08-31,11:00,Rivers United,Kwara United (13.),1:0,1.0,0.0
25/26,2,2025-08-31,11:00,Warri Wolves FC,Rangers (14.),2:0,2.0,0.0
25/26,2,2025-08-31,11:00,Plateau United,Katsina Utd. (15.),1:2,1.0,2.0
25/26,2,2025-08-31,11:00,Nasarawa United,Abia Warriors (2.),1:0,1.0,0.0
25/26,2,2025-08-31,11:00,Kano Pillars,Wikki Tourists (6.),1:1,1.0,1.0
25/26,2,2025-08-31,12:30,Ikorodu City,Kanemi Warriors (1.),0:0,0.0,0.0
25/26,2,2025-09-01,11:00,Kun Khalifat FC,Remo Stars FC (7.),1:2,1.0,2.0
25/26,3,2025-09-07,11:00,Barau FC,Bendel Ins. (16.),1:1,1.0,1.0
25/26,3,2025-09-07,11:00,Kanemi Warriors,Rivers United (5.),0:0,0.0,0.0
25/26,3,2025-09-07,11:00,Enyimba Aba,Nasarawa United (10.),0:0,0.0,0.0
25/26,3,2025-09-07,11:00,Katsina Utd.,Kano Pillars (20.),1:0,1.0,0.0
25/26,3,2025-09-07,11:00,Kwara United,Kun Khalifat FC (13.),2:0,2.0,0.0
25/26,3,2025-09-07,11:00,Niger Tornadoes,Bayelsa (1.),1:0,1.0,0.0
25/26,3,2025-09-07,11:00,Rangers,Plateau United (19.),2:0,2.0,0.0
25/26,3,2025-09-07,11:00,Remo Stars FC,Warri Wolves FC (2.),1:0,1.0,0.0
25/26,3,2025-09-07,11:00,Shooting Stars,Ikorodu City (12.),1:1,1.0,1.0
25/26,3,2025-09-07,11:00,Wikki Tourists,Abia Warriors (9.),1:0,1.0,0.0
25/26,4,2025-09-13,11:00,Bendel Ins.,Niger Tornadoes (6.),1:0,1.0,0.0
25/26,4,2025-09-14,11:00,Abia Warriors,Katsina Utd. (5.),1:0,1.0,0.0
25/26,4,2025-09-14,11:00,Bayelsa,Enyimba Aba (9.),0:2,0.0,2.0
25/26,4,2025-09-14,11:00,Kano Pillars,Rangers (11.),1:0,1.0,0.0
25/26,4,2025-09-14,11:00,Kun Khalifat FC,Kanemi Warriors (7.),3:1,3.0,1.0
25/26,4,2025-09-14,11:00,Nasarawa United,Wikki Tourists (2.),1:0,1.0,0.0
25/26,4,2025-09-14,11:00,Plateau United,Remo Stars FC (1.),2:0,2.0,0.0
25/26,4,2025-09-14,11:00,Rivers United,Shooting Stars (15.),1:0,1.0,0.0
25/26,4,2025-09-14,11:00,Warri Wolves FC,Kwara United (10.),0:0,0.0,0.0
25/26,4,2025-09-14,12:30,Ikorodu City,Barau FC (17.),2:0,2.0,0.0
25/26,5,2025-09-21,11:00,Bayelsa,Nasarawa United (5.),1:2,1.0,2.0
25/26,5,2025-09-21,11:00,Kanemi Warriors,Warri Wolves FC (3.),1:0,1.0,0.0
25/26,5,2025-09-21,11:00,Enyimba Aba,Bendel Ins. (14.),3:2,3.0,2.0
25/26,5,2025-09-21,11:00,Niger Tornadoes,Ikorodu City (7.),4:2,4.0,2.0
25/26,5,2025-09-21,11:00,Shooting Stars,Kun Khalifat FC (15.),2:1,2.0,1.0
25/26,5,2025-09-22,11:00,Katsina Utd.,Wikki Tourists (4.),1:0,1.0,0.0
25/26,5,2025-10-02,11:00,Kwara United,Plateau United (17.),2:1,2.0,1.0
25/26,5,2025-10-08,11:00,Rangers,Abia Warriors (10.),2:0,2.0,0.0
25/26,5,2025-11-19,10:00,Remo Stars FC,Kano Pillars (20.),1:0,1.0,0.0
25/26,5,2025-12-19,10:00,Barau FC,Rivers United (2.),4:1,4.0,1.0
25/26,6,2025-09-27,11:00,Bendel Ins.,Bayelsa (13.),1:1,1.0,1.0
25/26,6,2025-09-27,11:00,Plateau United,Kanemi Warriors (7.),1:0,1.0,0.0
25/26,6,2025-09-28,11:00,Kun Khalifat FC,Barau FC (15.),1:3,1.0,3.0
25/26,6,2025-09-28,11:00,Nasarawa United,Katsina Utd. (5.),2:0,2.0,0.0
25/26,6,2025-09-28,11:00,Warri Wolves FC,Shooting Stars (16.),1:2,1.0,2.0
25/26,6,2025-09-28,11:00,Wikki Tourists,Rangers (9.),2:2,2.0,2.0
25/26,6,2025-09-28,12:30,Ikorodu City,Enyimba Aba (1.),1:1,1.0,1.0
25/26,6,2025-10-01,11:00,Rivers United,Niger Tornadoes (4.),1:0,1.0,0.0
25/26,6,2025-10-02,11:00,Abia Warriors,Remo Stars FC (3.),2:0,2.0,0.0
25/26,6,2025-10-08,11:00,Kano Pillars,Kwara United (6.),1:0,1.0,0.0
25/26,7,2025-10-04,11:00,Bendel Ins.,Nasarawa United (1.),0:1,0.0,1.0
